Ano,Mes,Pot_Ins_kWp
2015,08,20
2015,09,0
2015,10,49.68
2015,11,59.75
2015,12,18.01
2016,01,0
2016,02,55.08
2016,03,65.69
2016,04,185.56
2016,05,103.46
2016,06,56.4
2016,07,26.62
2016,08,140.97
2016,09,80.66
2016,10,245.56
2016,11,80.35
2016,12,97.35
2017,01,65.67
2017,02,78.92
2017,03,106.83
2017,04,25.62
2017,05,134.44
2017,06,123.57
2017,07,283.6
2017,08,437.94
2017,09,317.66
2017,10,637.04
2017,11,778.33
2017,12,502.74
2018,01,670.76
2018,02,630.16
2018,03,1221.18
2018,04,1165.99
2018,05,1165.99
2018,06,843.56
2018,07,1033.28
2018,08,1848.71
2018,09,1419.83
2018,10,3310.59
2018,11,2947.55
2018,12,2801.25
2019,01,3951.49
2019,02,5049.84
2019,03,4602.52
2019,04,6640.3
2019,05,9729.53
2019,06,5822.6
2019,07,9017.35
2019,08,11345.99
2019,09,12340.34
2019,10,13324.85
2019,11,9123.96
2019,12,13763.03
2020,01,14778.44
2020,02,10002.39
2020,03,20621.09
2020,04,16726.67
2020,05,11041.25
2020,06,19232.72
2020,07,24011.8
2020,08,18793.34
2020,09,13392.84
2020,10,19423.83
2020,11,20953.26
2020,12,21709.85
2021,01,24377.97
2021,02,20265.24
2021,03,25279.89
2021,04,22707.45
2021,05,24073.05
2021,06,20301.05
2021,07,23997.21
2021,08,29682.66
2021,09,20415.29
2021,10,22547.03
2021,11,25845.7
2021,12,22406.09
2022,01,23461.84
2022,02,25725.78
2022,03,25317.43
2022,04,21790.29
2022,05,23805.97
2022,06,22832.85
2022,07,32368.83
2022,08,33725.54
2022,09,30040.13